Herb_ChineseName	Botanical source	Botanical authority	Standardized botanical name source	Material category	Botanical/source note	P(痰热壅肺证)	label_痰热壅肺证	入选层级	高分候选	is_shared_other_syndrome	命中关键词	性味	归经	功能	主治	P(风热犯肺证)	P(痰湿阻肺证)	label_风热犯肺证	label_痰湿阻肺证	Retention rationale
黄芪	Astragalus membranaceus		Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried root; ChP 2020 Vol.1, Page 300	0.9729118943214417	1	A_原始标签核心药	1	1	NA; original label-positive core herb	甘，微温	归肺、脾经	补气升阳，固表止汗，利水消肿，生津养血，行滞通痹，托毒排脓，敛疮生肌	用于气虚乏力，食少便溏，中气下陷，久泻脱肛，便血崩漏，表虚自汗，气虚水肿，内热消渴，血虚萎黄，半身不遂，痹痛麻木，痈疽难溃，久溃不敛	0.7818415760993958	0.966754138469696	1	1	Original label-positive core herb
麻黄	Ephedra sinica	Stapf	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried herbaceous stem; ChP 2020 Vol.1, Page 340	0.9728063941001892	1	A_原始标签核心药	1	1	止咳、润肺、宣肺、平喘、喘、咳	辛、微苦，温	归肺、膀胱经	发汗散寒，宣肺平喘，利水消肿	用于风寒感冒，胸闷喘咳，风水浮肿。蜜麻黄润肺止咳，多用于表证已解，气喘咳嗽	0.9096893072128296	0.9119172096252441	1	1	Original label-positive core herb
丹参	Salvia miltiorrhiza	Bge.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried root and rhizome; ChP 2020 Vol.1, Page 103	0.9717046618461609	1	A_原始标签核心药	1	1	NA; original label-positive core herb	苦，微寒	归心、肝经	活血祛瘀，通经止痛，清心除烦，凉血消痈	用于胸痹心痛，脘腹胁痛，癥瘕积聚，热痹疼痛，心烦不眠，月经不调，痛经经闭，疮疡肿痛	0.8355283737182617	0.9312521815299988	1	1	Original label-positive core herb
川贝母	Fritillaria cirrhosa	D.Don	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried bulb; ChP 2020 Vol.1, Page 87	0.9707747101783752	1	A_原始标签核心药	1	1	清热、化痰、止咳、润肺、痰、咳、肺热	苦、甘，微寒	归肺、心经	清热润肺，化痰止咳，散结消痈	用于肺热燥咳，干咳少痰，阴虚劳嗽，痰中带血，瘰疬，乳痈，肺痈	0.9246634840965271	0.8365574479103088	1	1	Original label-positive core herb
枳实	Citrus aurantium	L	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried young fruit; ChP 2020 Vol.1, Page 500	0.9689763784408569	1	A_原始标签核心药	1	1	化痰、痰	苦、辛、酸，微寒	归脾、胃经	破气消积，化痰散痞	用于积滞内停，痞满胀痛，泻痢后重，大便不通，痰滞气阻，胸痹，结胸，脏器下垂	0.8910229802131653	0.9064375162124634	1	1	Original label-positive core herb
麦冬	Ophiopogon japonicus	(L.f.) Ker-Gawl.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried tuberous root; ChP 2020 Vol.1, Page 342	0.9681140184402466	1	A_原始标签核心药	1	1	润肺、咳	甘、微苦，微寒	归心、肺、胃经	养阴生津，润肺清心	用于肺燥干咳，阴虚痨嗽，喉痹咽痛，津伤口渴，内热消渴，心烦失眠，肠燥便秘	0.887740969657898	0.9025293588638306	1	1	Original label-positive core herb
桑白皮	Morus alba	L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E6%A1%91%E7%99%BD%E7%9A%AE)	0.9671837687492371	1	A_原始标签核心药	1	1	泻肺、平喘、喘、咳、肺热	甘，寒	归肺经	泻肺平喘，利水消肿	用于肺热喘咳，水肿胀满尿少，面目肌肤浮肿	0.8714557886123657	0.9231290817260742	1	1	Original label-positive core herb
葶苈子	Descurainia sophia; Lepidium apetalum	(L.) Webb. ex Prantl; Willd.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%91%B6%E8%8B%88%E5%AD%90)	0.9667335748672485	1	A_原始标签核心药	1	1	泻肺、平喘、痰、喘、咳	辛、苦，大寒	归肺、膀胱经	泻肺平喘，行水消肿	用于痰涎壅肺，喘咳痰多，胸胁胀满，不得平卧，胸腹水肿，小便不利	0.8959025740623474	0.8838158249855042	0	1	Original label-positive core herb
蜜麻黄	Ephedra sinica	Stapf	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 麻黄; Multi-basal species; Medicinal part: dried herbaceous stem; ChP 2020 Vol.1, Page 340	0.9666149020195007	1	A_原始标签核心药	1	1	止咳、润肺、宣肺、平喘、喘、咳	辛、微苦，温	归肺、膀胱经	发汗散寒，宣肺平喘，利水消肿	用于风寒感冒，胸闷喘咳，风水浮肿。蜜麻黄润肺止咳，多用于表证已解，气喘咳嗽	0.9335805773735046	0.8572338819503784	1	1	Original label-positive core herb
法半夏	Pinellia ternata	(Thunb.) Breit.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 半夏; Toxic medicinal material; Medicinal part: dried tuber; ChP 2020 Vol.1, Page 42	0.966458797454834	1	A_原始标签核心药	1	1	化痰、燥湿化痰、痰、喘、咳	辛，温，有毒	归脾、胃、肺经	燥湿化痰，降逆止呕，消痞散结	用于痰多咳喘、痰饮眩悸、内痰眩晕、呕吐反胃、胸脘痞闷、梅核气症；生用外治痈肿痰核，姜半夏多用于降逆止呕	0.8579308986663818	0.950249195098877	1	1	Original label-positive core herb
瓜蒌	Trichosanthes kirilowii	Maxim	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried ripe fruit; split into halves before drying	0.9661521315574646	1	A_原始标签核心药	1	1	清热、痰、咳、肺热	甘、微苦，寒	归肺、胃、大肠经	清热涤痰，宽胸散结，润燥滑肠	用于肺热咳嗽，痰浊黄稠，胸痹心痛，结胸痞满，乳痈，肺痈，肠痈，大便秘结	0.8854262232780457	0.9009366035461426	1	1	Original label-positive core herb
橘红	Citrus reticulata	Blanco	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried outer pericarp; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E6%A9%98%E7%BA%A2	0.9658368825912476	1	A_原始标签核心药	1	1	化痰、痰、咳	辛，苦，温	归膀胱，小肠，肺，脾，胃，大肠经	散寒燥湿，理气化痰，宽中健胃	主风寒咳嗽，痰多气逆，恶心呕吐，胸脘痞胀	0.8805373311042786	0.9191690683364868	0	1	Original label-positive core herb
知母	Anemarrhena asphodeloides	Bge.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried rhizome; ChP 2020 Vol.1, Page 494	0.9652596116065979	1	A_原始标签核心药	1	1	清热、咳、肺热	苦、甘，寒	归肺、胃、肾经	清热泻火，滋阴润燥	用于外感热病，高热烦渴，肺热燥咳，骨蒸潮热，内热消渴，肠燥便秘	0.9096314907073975	0.868200421333313	1	1	Original label-positive core herb
前胡	Peucedanum praeruptorum; Peucedanum decursivum	Dunn; (Miq.) Maxim.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried root; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E5%89%8D%E8%83%A1	0.9651486873626709	1	A_原始标签核心药	1	1	清热、化痰、降气、痰、喘、咳、痰热	苦、辛，微寒	归肺经	降气化痰，散风清热	用于痰热喘满，咯痰黄稠，风热咳嗽痰多	0.9084775447845459	0.8815810680389404	1	1	Original label-positive core herb
五味子	Schisandra chinensis		Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried ripe fruit; ChP 2020 Vol.1, Page 450	0.9648547172546387	1	A_原始标签核心药	1	1	喘	酸、甘，温	归肺、心、肾经	收敛固涩，益气生津，补肾宁心	用于久嗽虚喘，梦遗滑精，遗尿尿频，久泻不止，自汗盗汗，津伤口渴，内热消渴，心悸失眠	0.7889818549156189	0.9668055176734924	0	1	Original label-positive core herb
党参	Codonopsis pilosula		Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried root; ChP 2020 Vol.1, Page 107	0.9644717574119568	1	A_原始标签核心药	1	1	喘、咳	甘，平	归脾、肺经	健脾益肺，养血生津	用于脾肺气虚，食少倦怠，咳嗽虚喘，气血不足，面色萎黄，心悸气短，津伤口渴，内热消渴	0.847747802734375	0.9561581611633301	1	1	Original label-positive core herb
款冬花	Tussilago farfara	L	Zhongyao Da Baike	processed plant-derived medicine	Medicinal part: honey-processed flower bud; collected in winter	0.9644291996955872	1	A_原始标签核心药	1	1	化痰、止咳、润肺、下气、痰、喘、咳	辛、微苦，温	归肺经	润肺下气，止咳化痰	用于新久咳嗽，喘咳痰多，劳嗽咳血	0.8647602200508118	0.9217745065689087	1	1	Original label-positive core herb
枇杷叶	Eriobotrya japonica	(Thunb.) Lindl.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried leaf; Source: Zhongyao Da Baike, URL: https://www.zhongyibaike.com/wiki/%E6%9E%87%E6%9D%B7%E5%8F%B6	0.9642851948738098	1	A_原始标签核心药	1	1	止咳、清肺、喘、咳、肺热	苦，微寒	归肺、胃经	清肺止咳，降逆止呕	用于肺热咳嗽，气逆喘急，胃热呕逆，烦热口渴	0.9187545776367188	0.8572015762329102	1	1	Original label-positive core herb
鸡内金	Gallus gallus domesticus	Brisson	Zhongyao Da Baike	animal-derived medicine	Medicinal part: dried gizzard inner wall; stir-fried for digestion	0.9642514586448669	1	A_原始标签核心药	1	1	NA; original label-positive core herb	甘，平	归脾、胃、小肠、膀胱经	健胃消食，涩精止遗，通淋化石	用于食积不消，呕吐泻痢，小儿疳积，遗尿，遗精，石淋涩痛，胆胀胁痛	0.04384197667241096	0.9019814729690552	0	1	Original label-positive core herb
浙贝母	Fritillaria thunbergii	Miq.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried bulb; ChP 2020 Vol.1, Page 492	0.9634926319122314	1	A_原始标签核心药	0	1	清热、化痰、止咳、痰、咳	苦，寒	归肺、心经	清热化痰止咳，解毒散结消痈	用于风热咳嗽，痰火咳嗽，肺痈，乳痈，瘰疬，疮毒	0.9355107545852661	0.8520089983940125	1	1	Original label-positive core herb
当归	Angelica sinensis		Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried root; ChP 2020 Vol.1, Page 28	0.9634502530097961	1	A_原始标签核心药	0	1	NA; original label-positive core herb	甘、辛，温	归肝、心、脾经	补血活血，调经止痛，润肠通便	用于血虚萎黄，眩晕心悸，月经不调，经闭痛经，虚寒腹痛，风湿痹痛，跌扑损伤，痈疽疮疡，肠燥便秘。酒当归活血通经，用于经闭痛经，风湿痹痛，跌扑损伤	0.7419112920761108	0.9701666235923767	0	1	Original label-positive core herb
木通	Akebia quinata; Akebia trifoliata; Akebia trifoliata var. australis	(Houtt.) Decne.; (Thunb.) Koidz.; (Thunb.) Koidz. var. australis (Diels) Rehd.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E6%9C%A8%E9%80%9A)	0.9631720185279846	1	A_原始标签核心药	0	0	NA; original label-positive core herb	苦，寒	归心、小肠、膀胱经	利尿通淋，清心除烦，通经下乳	用于淋证，水肿，心烦尿赤，口舌生疮，经闭乳少，湿热痹痛	0.1158115193247795	0.172223761677742	0	0	Original label-positive core herb
紫苏子	Perilla frutescens	(L.) Britt.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried ripe fruit; often stir-fried	0.9626770615577698	1	A_原始标签核心药	0	1	化痰、止咳、平喘、降气、痰、喘、咳、痰壅	辛，温	归肺经	降气化痰，止咳平喘，润肠通便	用于痰壅气逆，咳嗽气喘，肠燥便秘	0.8511728644371033	0.9364481568336487	1	1	Original label-positive core herb
石斛	Dendrobium nobile; Dendrobium chrysotoxum; Dendrobium fimbriatum var. oculatum	Lindl.; Lindl.; Hook. var. oculatum Hook.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E7%9F%B3%E6%96%9B)	0.9614989161491394	1	A_原始标签核心药	0	0	清热	甘，微寒	归胃、肾经	益胃生津，滋阴清热	用于热病津伤，口干烦渴，胃阴不足，食少干呕，病后虚热不退，阴虚火旺，骨蒸劳热，目暗不明，筋骨痿软	0.1542411297559738	0.1938331723213196	0	0	Original label-positive core herb
苦杏仁	Prunus armeniaca	L. var. ansu Maxim	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Toxic medicinal material; Medicinal part: dried ripe seed; ChP 2020 Vol.1, Page 315	0.9608564972877502	1	A_原始标签核心药	0	1	止咳、平喘、降气、痰、喘、咳	苦，微温；有小毒	归肺、大肠经	降气止咳平喘，润肠通便	用于咳嗽气喘，胸满痰多，肠燥便秘	0.8862836360931396	0.9122951030731201	1	1	Original label-positive core herb
竹茹	Bambusa textilis; Phyllostachys nigra var. henonis	McClure; (Lodd. ex Lindl.) Munro var. henonis (Mitf.) Stapf ex Rendle	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E7%AB%B9%E8%8C%B9)	0.9605560302734375	1	A_原始标签核心药	0	1	清热、化痰、痰、咳、痰热	甘，微寒	归肺、胃、心、胆经	清热化痰，除烦，止呕	用于痰热咳嗽，胆火挟痰，惊悸不宁，心烦失眠，中风痰迷，舌强不语，胃热呕吐，妊娠恶阻，胎动不安	0.9053549766540527	0.6651668548583984	1	1	Original label-positive core herb
石膏	Not applicable (mineral)	Not applicable (mineral)	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	mineral medicine	Mineral-derived medicine; Main component: CaSO₄·2H₂O; ChP 2020 Vol.1, Page 402	0.9604713320732117	1	A_原始标签核心药	0	1	清热、喘、咳、肺热	甘、辛，大寒	归肺、胃经	清热泻火，除烦止渴	用于外感热病，高热烦渴，肺热喘咳，胃火亢盛，头痛，牙痛	0.9341015219688416	0.8265522122383118	1	1	Original label-positive core herb
陈皮	Citrus reticulata	Blanco	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried ripe pericarp; ChP 2020 Vol.1, Page 80	0.9588407278060913	1	A_原始标签核心药	0	1	化痰、燥湿化痰、痰、咳	苦、辛，温	归肺、脾经	理气健脾，燥湿化痰	用于脘腹胀满，食少吐泻，咳嗽痰多	0.8308512568473816	0.9418800473213196	1	1	Original label-positive core herb
鱼腥草	Houttuynia cordata	Thunb.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: fresh or dried aerial part; ChP 2020 Vol.1, Page 480	0.9579141139984131	1	A_原始标签核心药	0	1	清热、痰、喘、咳、痰热	辛，微寒	归肺经	清热解毒，消痈排脓，利尿通淋	用于肺痈吐脓，痰热喘咳，热痢，热淋，痈肿疮毒	0.9129101634025574	0.8353372812271118	1	1	Original label-positive core herb
薏苡仁	Coix lacryma-jobi var. ma-yuen	(Roman.) Stapf	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried ripe seed; ChP 2020 Vol.1, Page 472	0.9558071494102478	1	A_原始标签核心药	0	1	NA; original label-positive core herb	甘、淡，凉	归脾、胃、肺经	利水渗湿，健脾止泻，除痹，排脓，解毒散结	用于水肿，脚气，小便不利，脾虚泄泻，湿痹拘挛，肺痈，肠痈，赘疣，癌肿	0.9030978679656982	0.8451193571090698	1	1	Original label-positive core herb
茯苓	Poria cocos		Zhongyao Da Baike (https://zhongyibaike.com/wiki/%E4%B8%AD%E8%8D%AF%E5%A4%A7%E5%85%A8)	plant-derived medicine (fungi)	Medicinal part: dried sclerotium; processed into whole/sliced forms; collected Jul-Sep	0.9531657695770264	1	A_原始标签核心药	0	1	痰	甘、淡，平	归心、肺、脾、肾经	利水渗湿，健脾，宁心	用于水肿尿少，痰饮眩悸，脾虚食少，便溏泄泻，心神不安，惊悸失眠	0.8252087831497192	0.9367671012878418	1	1	Original label-positive core herb
炙麻黄	Ephedra sinica	Stapf	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Processed herbal piece derived from 麻黄; Multi-basal species; Medicinal part: dried herbaceous stem; ChP 2020 Vol.1, Page 340	0.9522107243537903	1	A_原始标签核心药	0	1	平喘、喘、咳	辛、微苦，温	归肺经、膀胱经	发汗，平喘，利水	治伤寒表实，发热恶寒无汗、头痛鼻塞、骨节疼痛；咳嗽气喘；风水浮肿，小便不利；风邪顽痹，皮肤不仁，风疹瘙痒	0.8370780944824219	0.9084353446960449	0	1	Original label-positive core herb
紫菀	Aster tataricus	L.f.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried root and rhizome; ChP 2020 Vol.1, Page 508	0.9501463174819946	1	A_原始标签核心药	0	1	止咳、润肺、下气、痰、喘、咳	辛、苦，温	归肺经	润肺下气，消痰止咳	用于痰多喘咳，新久咳嗽，劳嗽咳血	0.8284933567047119	0.915460467338562	1	1	Original label-positive core herb
杏仁	Prunus armeniaca var. ansu; Prunus sibirica	L. var. ansu Maxim.; L.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Medicinal part: dried ripe seed.	0.94724440574646	1	A_原始标签核心药	0	1	祛痰、止咳、平喘、降气、痰、喘、咳	苦，微温，有小毒	归肺，大肠经	降气，祛痰止咳，平喘，润肠	治外感咳嗽，喘满，喉痹，肠燥便秘	0.8915966749191284	0.8682353496551514	1	1	Original label-positive core herb
射干	Iris domestica	(L.) Goldblatt & Mabb.	Zhongyao Da Baike	plant-derived medicine	Medicinal part: dried rhizome; Belamcanda chinensis (L.) Redouté is a synonym of Iris domestica.	0.9470726847648621	1	A_原始标签核心药	0	1	清热、痰、喘、咳	苦，寒	归肺经	清热解毒，消痰，利咽	用于热毒痰火郁结，咽喉肿痛，痰涎壅盛，咳嗽气喘	0.9424391984939575	0.7220702171325684	1	1	Original label-positive core herb
桃仁	Prunus persica		Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried ripe seed; ChP 2020 Vol.1, Page 420	0.9468563199043274	1	A_原始标签核心药	0	1	止咳、平喘、喘、咳	苦、甘，平	归心、肝、大肠经	活血祛瘀，润肠通便，止咳平喘	用于经闭痛经，癥瘕痞块，肺痈肠痈，跌扑损伤，肠燥便秘，咳嗽气喘	0.9073848724365234	0.7627885937690735	0	1	Original label-positive core herb
金银花	Lonicera japonica	Thunb.	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried flower bud; ChP 2020 Vol.1, Page 220	0.9467756152153015	1	A_原始标签核心药	0	1	清热	甘，寒	归肺、心、胃经	清热解毒，疏散风热	用于痈肿疔疮，喉痹，丹毒，热毒血痢，风热感冒，温病发热	0.9611735939979553	0.7363249063491821	1	0	Original label-positive core herb
甘草	Glycyrrhiza uralensis	Fisch	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Multi-basal species; Medicinal part: dried root and rhizome; ChP 2020 Vol.1, Page 100	0.9460382461547852	1	A_原始标签核心药	0	1	清热、祛痰、止咳、痰、咳	甘，平	归心、肺、脾、胃经	补脾益气，清热解毒，祛痰止咳，缓急止痛，调和诸药	用于脾胃虚弱，倦怠乏力，心悸气短，咳嗽痰多，脘腹、四肢挛急疼痛，痈肿疮毒，缓解药物毒性、烈性	0.9496322870254517	0.8240391612052917	1	1	Original label-positive core herb
黄芩	Scutellaria baicalensis	Georgi	Chinese Pharmacopoeia 2020 Edition (ChP 2020, Volume 1)	plant-derived medicine	Medicinal part: dried root; ChP 2020 Vol.1, Page 302	0.9459736943244934	1	A_原始标签核心药	0	1	清热、咳、肺热	苦，寒	归肺、胆、脾、大肠、小肠经	清热燥湿，泻火解毒，止血，安胎	用于湿温、暑湿，胸闷呕恶，湿热痞满，泻痢，黄疸，肺热咳嗽，高热烦渴，血热吐衄，痈肿疮毒，胎动不安	0.9197730422019958	0.848737895488739	1	1	Original label-positive core herb
芦根	Phragmites australis	(Cav.) Trin. ex Steud.	Chinese Pharmacopoeia 2020 Edition (Volume I)	plant-derived medicine	Source: Zhongyao Da Baike (URL: https://www.zhongyibaike.com/wiki/%E8%8A%A6%E6%A0%B9)	0.9456397891044617	1	A_原始标签核心药	0	1	清热、咳、肺热	甘，寒	归肺、胃经	清热泻火，生津止渴，除烦，止呕，利尿	用于热病烦渴，肺热咳嗽，肺痈吐脓，胃热呕哕，热淋涩痛	0.949567437171936	0.7317186594009399	1	0	Original label-positive core herb
